query_id,pregunta,estrategia,hit,rank_encontrado
Q01,¿Cómo se clasifican los tipos de crédito de la Cartera Crediticia de Consumo no Revolvente para el cálculo de reservas?,HyDE_MultiQuery,0,-1
Q02,¿Cuál es la fórmula para calcular la Probabilidad de Incumplimiento (PI) de un crédito de nómina en Etapa 1 o 2?,HyDE_MultiQuery,0,-1
Q03,¿Bajo qué condiciones un crédito de nómina pasa directamente a Etapa 3 de riesgo?,HyDE_MultiQuery,0,-1
Q04,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito y qué criterios deben seguir para la migración entre etapas?,HyDE_MultiQuery,1,2
Q05,¿Cuáles son los enfoques que las instituciones pueden adoptar para el cálculo de reservas preventivas y qué requisitos deben cumplir para cada enfoque?,HyDE_MultiQuery,0,-1
Q06,¿Cómo se determina la Probabilidad de Incumplimiento para créditos clasificados en etapa 3?,HyDE_MultiQuery,0,-1
Q07,¿Qué criterios deben seguir las instituciones para migrar un crédito de una etapa de riesgo a otra?,HyDE_MultiQuery,0,-1
Q08,¿Cómo pueden las instituciones financieras utilizar las garantías reales financieras para reducir las reservas preventivas según el Artículo 97 Bis 6?,HyDE_MultiQuery,1,1
Q09,¿Qué tipos de garantías pueden ser consideradas por las instituciones para la estimación de la Severidad de la Pérdida de los créditos?,HyDE_MultiQuery,1,1
Q10,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito según el incremento significativo del riesgo crediticio?,HyDE_MultiQuery,0,-1
Q11,¿Qué enfoques pueden adoptar las instituciones para el cálculo de reservas preventivas y cuáles son sus requisitos?,HyDE_MultiQuery,0,-1
Q12,"¿Cómo se determina la Probabilidad de Incumplimiento para créditos clasificados como ""B"" en la Cartera Crediticia de Consumo no Revolvente?",HyDE_MultiQuery,0,-1
Q13,¿Cómo deben las instituciones calcular la Exposición al Incumplimiento para créditos donde el saldo es menor que el límite de crédito?,HyDE_MultiQuery,0,-1
Q14,¿Qué criterios deben seguir las instituciones para migrar un crédito entre etapas de riesgo?,HyDE_MultiQuery,0,-1
Q15,¿Cómo se determina la Probabilidad de Incumplimiento para créditos con ACT_i ≤ 3?,HyDE_MultiQuery,0,-1
Q16,¿Cómo pueden las instituciones financieras reducir las reservas preventivas a través del reconocimiento de garantías?,HyDE_MultiQuery,1,2
Q17,¿Qué tipos de garantías son reconocidos para la estimación de la Severidad de la Pérdida de los créditos?,HyDE_MultiQuery,0,-1
Q18,¿En qué condiciones deben las instituciones aplicar el apartado E para calcular sus reservas?,HyDE_MultiQuery,0,-1
