query_id,pregunta,estrategia,hit,rank_encontrado,ndcg_10,map_10
Q01,¿Qué se entiende por Activos Líquidos Computables?,2_Baseline_Semántico,1,1,1.0,1.0
Q02,¿En qué plazo debe reportarse el Coeficiente de Cobertura de Liquidez diario?,2_Baseline_Semántico,1,1,1.0,1.0
Q03,¿Qué es el Flujo Neto Total de Salida de Efectivo?,2_Baseline_Semántico,1,1,1.0,1.0
Q04,¿Cómo se determina el flujo total de salida de efectivo?,2_Baseline_Semántico,1,1,1.0,1.0
Q05,¿Qué fecha deben tomar las Instituciones para determinar el plazo de las operaciones de salida?,2_Baseline_Semántico,1,1,1.0,1.0
Q06,¿Qué operaciones se consideran para el flujo total de entrada de efectivo?,2_Baseline_Semántico,1,1,1.0,1.0
Q07,¿Cuál es el límite máximo reconocido para el flujo total de entrada de efectivo?,2_Baseline_Semántico,1,1,1.0,1.0
Q08,¿Qué requisito de CCL debe cumplir una institución con más de 60 meses de operación para estar en Escenario I?,2_Baseline_Semántico,1,4,0.43067655807339306,0.25
Q09,¿Cuándo se ubica una institución en Escenario III por recurrencia en Escenario II?,2_Baseline_Semántico,1,1,1.0,1.0
Q10,¿Qué tratamiento de escenarios de liquidez reciben las instituciones en sus primeros 12 meses de operación?,2_Baseline_Semántico,1,1,1.0,1.0
Q11,¿Cuál es el CCL mínimo para Escenario I en instituciones de entre 13 y 24 meses de operación?,2_Baseline_Semántico,1,4,0.43067655807339306,0.25
Q12,¿Qué medida debe tomar una institución en Escenario III respecto a sus operaciones?,2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q13,¿Qué restricciones de dividendos aplican en el Escenario IV de CCL?,2_Baseline_Semántico,1,4,0.43067655807339306,0.25
Q14,¿Cómo deben valuarse los títulos conservados a vencimiento para el CCL?,2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q15,¿Qué criterio aplica si una misma operación tiene más de un factor de salida en el Anexo 2?,2_Baseline_Semántico,1,1,1.0,1.0
Q16,¿Cómo se determina la fecha de vencimiento para los flujos de entrada de efectivo?,2_Baseline_Semántico,1,1,1.0,1.0
Q17,¿Qué medida adicional se aplica a las Instituciones que se ubiquen en el escenario V de CCL?,2_Baseline_Semántico,1,3,0.5,0.3333333333333333
Q18,¿Cuál es la restricción al incluir activos líquidos de entidades extranjeras en el cálculo consolidado?,2_Baseline_Semántico,1,1,1.0,1.0
Q19,¿Cómo debe considerarse la cartera de crédito para el cálculo del CFEN?,2_Baseline_Semántico,1,1,1.0,1.0
Q20,¿Cómo se tratan las operaciones fecha valor en el CFEN?,2_Baseline_Semántico,1,1,1.0,1.0
Q21,¿Cómo se calcula el plazo de las operaciones para el CFEN?,2_Baseline_Semántico,1,1,1.0,1.0
Q22,¿Qué supuesto aplica para determinar el plazo remanente de los activos con opciones?,2_Baseline_Semántico,1,1,1.0,1.0
Q23,¿Qué supuesto aplica para determinar el plazo remanente de los pasivos con opciones?,2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q24,¿Cómo se determina el plazo de pago para créditos de cuenta corriente dispuestos por tarjetas de crédito?,2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q25,¿Qué nivel de CFEN se requiere para estar en el Escenario I?,2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q26,¿Qué obligación surge cuando una Institución se ubica en un escenario distinto al I en 3 o más ocasiones en 12 meses?,2_Baseline_Semántico,1,6,0.3562071871080222,0.16666666666666666
Q27,¿Qué plazo tiene una institución en Escenario II para presentar un plan de restauración de CFEN?,2_Baseline_Semántico,1,1,1.0,1.0
Q28,¿Qué medida adicional aplica a las Instituciones en Escenario III de CFEN?,2_Baseline_Semántico,1,4,0.43067655807339306,0.25
Q29,¿Qué metodología se aplica para activos y pasivos por derivados en el CFEN?,2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q30,¿Qué ponderación de financiamiento estable disponible tienen los pasivos con plazo residual igual o mayor a un año?,2_Baseline_Semántico,1,1,1.0,1.0
Q31,¿Cómo deben tratarse las amortizaciones parciales de capital en el cálculo del plazo para el CFEN?,2_Baseline_Semántico,1,1,1.0,1.0
Q32,¿Qué factor de financiamiento estable requerido aplica a la cartera hipotecaria de vivienda con ponderación de riesgo menor o igual al 35%?,2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q33,"¿Cuál es el factor de financiamiento estable requerido para la caja, los billetes y las monedas?",2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q34,¿Qué debe contener el informe detallado que presentan las Instituciones si se ubican en un escenario distinto al I en 3 ocasiones en 12 meses?,2_Baseline_Semántico,1,1,1.0,1.0
Q35,"¿A qué se refiere el término ""Coeficientes"" en la regulación?",2_Baseline_Semántico,1,1,1.0,1.0
Q36,¿Qué operaciones deben incluir las Instituciones para el cálculo individual y consolidado?,2_Baseline_Semántico,1,1,1.0,1.0
Q37,¿Cuál es el criterio general para considerar el valor de las operaciones?,2_Baseline_Semántico,1,1,1.0,1.0
Q38,¿Cómo se calcula la equivalencia en moneda nacional de montos en dólares de EE. UU.?,2_Baseline_Semántico,1,1,1.0,1.0
Q39,¿Qué debe hacer una Institución si prevea ubicarse en un escenario distinto al I?,2_Baseline_Semántico,1,3,0.5,0.3333333333333333
Q40,¿En cuánto tiempo el Banco de México verificará los cálculos reportados?,2_Baseline_Semántico,1,1,1.0,1.0
Q41,¿Cuál será el cálculo válido para todos los efectos legales?,2_Baseline_Semántico,1,1,1.0,1.0
Q42,¿Cuál es el objetivo de los planes de restauración de los Coeficientes?,2_Baseline_Semántico,1,1,1.0,1.0
Q43,¿Cuándo se considera que existe un incumplimiento a los requerimientos de liquidez?,2_Baseline_Semántico,1,1,1.0,1.0
Q44,¿Qué información deben difundir trimestralmente las Instituciones en su página de Internet?,2_Baseline_Semántico,1,1,1.0,1.0
Q45,¿Quién es el encargado de aprobar el plan de restauración de los Coeficientes?,2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q46,¿Cómo se realiza el cálculo de la equivalencia en moneda nacional de montos denominados en UDIs?,2_Baseline_Semántico,1,1,1.0,1.0
Q47,¿Cómo se deben resolver las consultas sobre la aplicación de estas disposiciones?,2_Baseline_Semántico,1,1,1.0,1.0
Q48,¿Cuál es el objetivo principal del Principio 8 establecido por el Comité de Basilea?,2_Baseline_Semántico,1,1,1.0,1.0
Q49,¿Cuáles son las herramientas de monitoreo que deben aplicar todos los bancos informantes (Categoría A)?,2_Baseline_Semántico,1,1,1.0,1.0
Q50,¿Qué datos deben reportar los bancos respecto a sus posiciones netas acumuladas negativas?,2_Baseline_Semántico,1,1,1.0,1.0
Q51,¿Cuál es el propósito de la herramienta de Pagos totales?,2_Baseline_Semántico,1,1,1.0,1.0
Q52,¿Qué implicaciones tiene el incumplimiento de las obligaciones con horario específico?,2_Baseline_Semántico,1,1,1.0,1.0
Q53,¿Cuáles son las herramientas específicas para bancos que prestan servicios de corresponsalía bancaria?,2_Baseline_Semántico,1,1,1.0,1.0
Q54,¿Qué detalles deben incluir los bancos corresponsales al reportar las líneas de crédito intradía otorgadas?,2_Baseline_Semántico,1,1,1.0,1.0
Q55,¿Qué herramienta es exclusiva para los bancos que son participantes directos?,2_Baseline_Semántico,1,1,1.0,1.0
Q56,¿Qué permite evaluar el ritmo de liquidación intradía?,2_Baseline_Semántico,1,1,1.0,1.0
Q57,¿Cuáles son los escenarios de tensión que deben considerar los bancos?,2_Baseline_Semántico,1,1,1.0,1.0
Q58,¿Qué efecto puede tener una tensión financiera propia en un participante directo?,2_Baseline_Semántico,1,1,1.0,1.0
Q59,¿A qué nivel de la estructura organizacional deben aplicarse típicamente estas herramientas?,2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q60,"En grupos bancarios transfronterizos, ¿cuál es la responsabilidad del supervisor de acogida respecto a una sucursal?",2_Baseline_Semántico,1,1,1.0,1.0
Q61,¿Cuál es la fecha de implementación y la frecuencia inicial de reporte?,2_Baseline_Semántico,1,1,1.0,1.0
Q62,¿Quién es el responsable final de la presentación de los datos ante el supervisor?,2_Baseline_Semántico,1,4,0.43067655807339306,0.25
Q63,¿Qué elementos se consideran fuentes propias de liquidez intradía?,2_Baseline_Semántico,1,1,1.0,1.0
Q64,¿Qué indica una combinación de baja liquidez inicial y alta proporción de obligaciones con horario específico?,2_Baseline_Semántico,1,1,1.0,1.0
Q65,¿Para consumo no revolvente cómo se define el pago realizado?,2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q66,¿Cuál es la fórmula para calcular la Probabilidad de Incumplimiento (PI) de un crédito de nómina en Etapa 1 o 2?,2_Baseline_Semántico,1,1,1.0,1.0
Q67,¿Bajo qué condiciones un crédito de nómina pasa directamente a Etapa 3 de riesgo?,2_Baseline_Semántico,1,2,0.6309297535714575,0.5
Q68,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito y qué criterios deben seguir para la migración entre etapas?,2_Baseline_Semántico,1,1,1.0,1.0
Q69,¿Cuáles son los enfoques que las instituciones pueden adoptar para el cálculo de reservas preventivas y qué requisitos deben cumplir para cada enfoque?,2_Baseline_Semántico,1,1,1.0,1.0
