query_id,pregunta,respuesta_ciega,texto_clave_esperado,hit_ciego,duracion_segundos
Q01,¿Qué se entiende por Activos Líquidos Computables?,"Los Activos Líquidos Computables son aquellos activos que una entidad financiera puede convertir rápidamente en efectivo sin una pérdida significativa de valor. Estos activos son fundamentales para cumplir con los requisitos de liquidez establecidos por los reguladores, como los que se encuentran en el marco de Basilea III.

Los Activos Líquidos Computables se dividen generalmente en dos categorías:

1. **Activos Líquidos de Nivel 1**: Son los más seguros y líquidos, como el efectivo, los depósitos en bancos centrales y los bonos del gobierno de alta calidad. Estos activos pueden ser utilizados para cumplir con los requisitos de liquidez de manera inmediata.

2. **Activos Líquidos de Nivel 2**: Incluyen activos que son menos líquidos que los de Nivel 1, como ciertos bonos corporativos y otros instrumentos financieros de alta calidad. Estos activos pueden ser utilizados para cumplir con los requisitos de liquidez, pero están sujetos a descuentos en su valor para reflejar su menor liquidez.

La regulación exige que las entidades mantengan un cierto nivel de Activos Líquidos Computables para asegurar que puedan hacer frente a sus obligaciones financieras a corto plazo, especialmente en situaciones de estrés financiero.","Al monto total correspondiente al valor de los Activos Líquidos Elegibles que, conforme a las presentes disposiciones, se incluyan en el cálculo del Coeficiente de Cobertura de Liquidez, con los límites y factores de descuento establecidos en las presentes disposiciones.",0,2.8821
Q02,¿En qué plazo debe reportarse el Coeficiente de Cobertura de Liquidez diario?,"El Coeficiente de Cobertura de Liquidez (LCR, por sus siglas en inglés) debe ser reportado diariamente por las entidades bancarias. Este coeficiente es una medida que asegura que los bancos mantengan un nivel adecuado de activos líquidos de alta calidad para cubrir sus salidas de efectivo durante un período de 30 días en condiciones de estrés. La regulación que establece este requerimiento proviene de Basilea III, que busca fortalecer la regulación, supervisión y gestión de riesgos en el sector bancario.",El Coeficiente de Cobertura de Liquidez que corresponda a cada día deberá reportarse durante los diez Días Hábiles posteriores a dicho día.,0,1.7709
Q03,¿Qué es el Flujo Neto Total de Salida de Efectivo?,"El Flujo Neto Total de Salida de Efectivo se refiere a la cantidad total de efectivo que sale de una entidad, como un banco o una empresa, durante un período específico, menos la cantidad de efectivo que entra en la misma entidad durante ese mismo período. Este indicador es crucial para evaluar la liquidez y la salud financiera de una institución, ya que un flujo neto negativo puede indicar problemas de liquidez, mientras que un flujo neto positivo sugiere que la entidad está generando más efectivo del que está gastando. En el contexto bancario, este flujo puede incluir salidas de efectivo por préstamos, pagos de intereses, gastos operativos y otras obligaciones, mientras que las entradas pueden provenir de depósitos, ingresos por intereses y otras fuentes de ingresos.","Al monto que resulte de restar el flujo total de entrada de efectivo de una Institución del flujo total de salida de efectivo de esa misma Institución, determinados de conformidad con las presentes disposiciones.",0,3.027
Q04,¿Cómo se determina el flujo total de salida de efectivo?,"El flujo total de salida de efectivo se determina mediante la identificación y cuantificación de todas las salidas de efectivo de una entidad durante un período específico. Este proceso generalmente implica los siguientes pasos:

1. **Identificación de las categorías de salidas de efectivo**: Las salidas de efectivo se pueden clasificar en varias categorías, como:
   - **Operativas**: Pagos a proveedores, salarios, impuestos, y otros gastos operativos.
   - **Inversión**: Compras de activos fijos, inversiones en otras empresas, y gastos de capital.
   - **Financiamiento**: Pagos de deudas, dividendos a accionistas, y otros costos relacionados con la financiación.

2. **Recolección de datos**: Se recopilan los datos de las transacciones que generan salidas de efectivo. Esto puede incluir extractos bancarios, registros contables, y facturas.

3. **Cálculo de las salidas de efectivo**: Se suman todas las salidas de efectivo identificadas en cada categoría durante el período analizado. Esto puede hacerse utilizando métodos contables, como el método directo, que registra las entradas y salidas de efectivo, o el método indirecto, que ajusta el resultado neto para reflejar las variaciones en el efectivo.

4. **Análisis y reporte**: Finalmente, se presenta el flujo total de salida de efectivo en un estado de flujo de efectivo, que proporciona una visión clara de cómo se ha utilizado el efectivo en las operaciones, inversiones y financiamiento de la entidad.

Este análisis es crucial para la gestión financiera, ya que permite a las entidades evaluar su liquidez y capacidad para cumplir con sus obligaciones financieras.","El flujo total de salida de efectivo será el que resulte de sumar todas las operaciones pasivas con vencimiento igual o menor a treinta días multiplicadas por su correspondiente factor de salida, de conformidad con lo establecido en el Anexo 2 de estas disposiciones.",0,3.8306
Q05,¿Qué fecha deben tomar las Instituciones para determinar el plazo de las operaciones de salida?,"En el contexto de la regulación financiera bancaria, las instituciones deben tomar como referencia la fecha de valor o la fecha de liquidación de la operación para determinar el plazo de las operaciones de salida. Esta fecha es crucial, ya que marca el momento en que se efectúa la transferencia de fondos o activos y se considera el inicio del plazo para cualquier obligación relacionada con la operación. Es importante que las instituciones sigan las normativas específicas de su jurisdicción y las directrices de los organismos reguladores pertinentes al respecto.","Las Instituciones deberán tomar como fecha de vencimiento la fecha más próxima en que dichas operaciones pueden ser exigibles contractualmente, para lo cual deberán considerar si el contrato respectivo permite a la contraparte adelantar la exigibilidad de dichas operaciones.",0,1.2862
Q06,¿Qué operaciones se consideran para el flujo total de entrada de efectivo?,"El flujo total de entrada de efectivo en el contexto de la regulación financiera bancaria se refiere a todas las fuentes de efectivo que ingresan a una entidad financiera. Las operaciones que se consideran para calcular este flujo incluyen:

1. **Intereses recibidos**: Ingresos generados por préstamos otorgados a clientes y otras inversiones.

2. **Comisiones y tarifas**: Ingresos por servicios bancarios, como comisiones por transacciones, mantenimiento de cuentas y otros servicios financieros.

3. **Venta de activos**: Ingresos obtenidos por la venta de activos financieros, como bonos, acciones o propiedades.

4. **Depósitos de clientes**: Aumentos en los depósitos de clientes, que representan efectivo que entra al banco.

5. **Financiamiento externo**: Fondos obtenidos a través de la emisión de deuda o acciones, así como préstamos de otras instituciones financieras.

6. **Inversiones**: Ingresos por inversiones en otras entidades o instrumentos financieros.

7. **Recuperación de préstamos**: Pagos recibidos de clientes que han pagado sus préstamos.

Estas operaciones son fundamentales para evaluar la liquidez y la salud financiera de una entidad bancaria, así como para cumplir con los requisitos regulatorios establecidos por las autoridades financieras.","Considerarán todas las operaciones vigentes conforme a los Criterios Contables que no presenten pagos vencidos de principal o intereses, que, derivado de los contratos que al efecto tenga celebrados, generarán un flujo de entrada de efectivo en los treinta días siguientes a la fecha de cálculo del Coeficiente de Cobertura de Liquidez.",0,3.5853
Q07,¿Cuál es el límite máximo reconocido para el flujo total de entrada de efectivo?,"El límite máximo reconocido para el flujo total de entrada de efectivo puede variar según la regulación específica de cada país y el contexto en el que se aplique. Sin embargo, en términos generales, no existe un límite universalmente establecido para el flujo total de entrada de efectivo en el ámbito bancario. Las regulaciones pueden establecer límites en relación con transacciones específicas, como transferencias internacionales o depósitos en efectivo, pero estos límites son determinados por las autoridades regulatorias de cada jurisdicción y pueden estar sujetos a cambios.

Es importante consultar la normativa local y las directrices de los organismos reguladores pertinentes, como el Banco Central o la autoridad de supervisión financiera, para obtener información precisa sobre los límites aplicables en un contexto específico.","El flujo total de entrada de efectivo será el monto que resulte menor entre: i) la suma de todos los flujos de entrada de efectivo calculados de conformidad con la fracción I anterior, y ii) el 75 por ciento del flujo total de salida de efectivo calculado conforme el artículo 11 de las presentes disposiciones.",0,1.6827
Q08,¿Qué requisito de CCL debe cumplir una institución con más de 60 meses de operación para estar en Escenario I?,"Para que una institución bancaria con más de 60 meses de operación esté en Escenario I según la regulación de Capital de Nivel 1 (CCL), debe cumplir con un requisito de capital mínimo del 4% de su activo ponderado por riesgo. Este escenario se refiere a un marco regulatorio que busca asegurar la solidez financiera de las instituciones y su capacidad para absorber pérdidas. Además, es importante que la entidad mantenga un nivel adecuado de liquidez y cumpla con otros requisitos prudenciales establecidos por la autoridad reguladora correspondiente.",Escenario I cuando el Coeficiente de Cobertura de Liquidez correspondiente a cada día del mes calendario inmediato anterior sea al menos de 100 por ciento.,0,1.6469
Q09,¿Cuándo se ubica una institución en Escenario III por recurrencia en Escenario II?,"En el contexto de la regulación financiera bancaria, específicamente bajo el marco de Basilea III, una institución se ubica en Escenario III por recurrencia en Escenario II cuando ha experimentado múltiples incumplimientos de los requisitos de capital o de liquidez establecidos en el Escenario II durante un período determinado. Esto implica que la entidad ha mostrado una debilidad persistente en su capacidad para mantener los estándares regulatorios, lo que puede llevar a una supervisión más estricta y a la implementación de medidas correctivas por parte de las autoridades regulatorias. La transición a Escenario III generalmente conlleva mayores exigencias en términos de capital y una vigilancia más intensa para asegurar la estabilidad financiera de la institución.","En el escenario III cuando, de acuerdo a lo establecido en la fracción II del presente artículo, les corresponda ubicarse en el escenario II y, adicionalmente, hubieren actualizado durante los últimos seis meses el escenario II o superior en tres o más ocasiones.",0,1.6278
Q10,¿Qué tratamiento de escenarios de liquidez reciben las instituciones en sus primeros 12 meses de operación?,"En los primeros 12 meses de operación, las instituciones financieras, especialmente los bancos, suelen estar sujetas a un tratamiento específico en cuanto a la gestión de la liquidez. Este tratamiento puede variar según la regulación del país y el marco normativo aplicable, pero generalmente incluye los siguientes aspectos:

1. **Requisitos de Liquidez Inicial**: Las nuevas instituciones pueden tener requisitos de liquidez más flexibles en sus primeros meses de operación, permitiendo un período de adaptación mientras establecen su base de clientes y flujos de efectivo.

2. **Plan de Liquidez**: Se espera que las nuevas entidades desarrollen un plan de gestión de liquidez que contemple escenarios de estrés y proyecciones de flujos de efectivo. Este plan debe ser revisado y aprobado por la alta dirección y, en algunos casos, por el regulador.

3. **Monitoreo de Liquidez**: Aunque pueden tener un tratamiento más flexible, las instituciones deben comenzar a implementar sistemas de monitoreo de liquidez desde el inicio de sus operaciones para asegurar que puedan cumplir con sus obligaciones a corto plazo.

4. **Escenarios de Estrés**: Las instituciones deben realizar pruebas de estrés de liquidez que simulen diferentes escenarios adversos, aunque la profundidad y frecuencia de estas pruebas pueden ser menos rigurosas en los primeros meses.

5. **Supervisión Reguladora**: Las autoridades regulatorias suelen supervisar de cerca a las nuevas instituciones, lo que puede incluir revisiones periódicas de su posición de liquidez y su capacidad para manejar situaciones de crisis.

En resumen, aunque las nuevas instituciones pueden tener un tratamiento más flexible en sus primeros 12 meses, deben establecer prácticas sólidas de gestión de liquidez y cumplir con los requisitos regulatorios básicos para asegurar su estabilidad financiera.","A partir del primer día y hasta el último día del decimosegundo mes posterior a la fecha en que hubieren comenzado operaciones, no les serán aplicables los escenarios de liquidez señalados en el presente artículo.",0,3.28
