query_id,pregunta,estrategia,hit,rank_encontrado,ndcg_10,map_10
Q01,¿Qué se entiende por Activos Líquidos Computables?,3_Híbrido_Simple,1,1,1.0,1.0
Q02,¿En qué plazo debe reportarse el Coeficiente de Cobertura de Liquidez diario?,3_Híbrido_Simple,1,1,1.0,1.0
Q03,¿Qué es el Flujo Neto Total de Salida de Efectivo?,3_Híbrido_Simple,1,1,1.0,1.0
Q04,¿Cómo se determina el flujo total de salida de efectivo?,3_Híbrido_Simple,1,2,0.6309297535714575,0.5
Q05,¿Qué fecha deben tomar las Instituciones para determinar el plazo de las operaciones de salida?,3_Híbrido_Simple,1,1,1.0,1.0
Q06,¿Qué operaciones se consideran para el flujo total de entrada de efectivo?,3_Híbrido_Simple,1,2,0.6309297535714575,0.5
Q07,¿Cuál es el límite máximo reconocido para el flujo total de entrada de efectivo?,3_Híbrido_Simple,1,1,1.0,1.0
Q08,¿Qué requisito de CCL debe cumplir una institución con más de 60 meses de operación para estar en Escenario I?,3_Híbrido_Simple,1,2,0.6309297535714575,0.5
Q09,¿Cuándo se ubica una institución en Escenario III por recurrencia en Escenario II?,3_Híbrido_Simple,1,1,1.0,1.0
Q10,¿Qué tratamiento de escenarios de liquidez reciben las instituciones en sus primeros 12 meses de operación?,3_Híbrido_Simple,1,1,1.0,1.0
Q11,¿Cuál es el CCL mínimo para Escenario I en instituciones de entre 13 y 24 meses de operación?,3_Híbrido_Simple,1,6,0.3562071871080222,0.16666666666666666
Q12,¿Qué medida debe tomar una institución en Escenario III respecto a sus operaciones?,3_Híbrido_Simple,1,1,1.0,1.0
Q13,¿Qué restricciones de dividendos aplican en el Escenario IV de CCL?,3_Híbrido_Simple,1,3,0.5,0.3333333333333333
Q14,¿Cómo deben valuarse los títulos conservados a vencimiento para el CCL?,3_Híbrido_Simple,1,1,1.0,1.0
Q15,¿Qué criterio aplica si una misma operación tiene más de un factor de salida en el Anexo 2?,3_Híbrido_Simple,1,1,1.0,1.0
Q16,¿Cómo se determina la fecha de vencimiento para los flujos de entrada de efectivo?,3_Híbrido_Simple,1,3,0.5,0.3333333333333333
Q17,¿Qué medida adicional se aplica a las Instituciones que se ubiquen en el escenario V de CCL?,3_Híbrido_Simple,1,2,0.6309297535714575,0.5
Q18,¿Cuál es la restricción al incluir activos líquidos de entidades extranjeras en el cálculo consolidado?,3_Híbrido_Simple,1,2,0.6309297535714575,0.5
Q19,¿Cómo debe considerarse la cartera de crédito para el cálculo del CFEN?,3_Híbrido_Simple,1,1,1.0,1.0
Q20,¿Cómo se tratan las operaciones fecha valor en el CFEN?,3_Híbrido_Simple,1,1,1.0,1.0
Q21,¿Cómo se calcula el plazo de las operaciones para el CFEN?,3_Híbrido_Simple,1,1,1.0,1.0
Q22,¿Qué supuesto aplica para determinar el plazo remanente de los activos con opciones?,3_Híbrido_Simple,1,1,1.0,1.0
Q23,¿Qué supuesto aplica para determinar el plazo remanente de los pasivos con opciones?,3_Híbrido_Simple,1,1,1.0,1.0
Q24,¿Cómo se determina el plazo de pago para créditos de cuenta corriente dispuestos por tarjetas de crédito?,3_Híbrido_Simple,1,1,1.0,1.0
Q25,¿Qué nivel de CFEN se requiere para estar en el Escenario I?,3_Híbrido_Simple,1,3,0.5,0.3333333333333333
Q26,¿Qué obligación surge cuando una Institución se ubica en un escenario distinto al I en 3 o más ocasiones en 12 meses?,3_Híbrido_Simple,1,1,1.0,1.0
