query_id,pregunta,retrieval_exitoso,formato_exitoso,generacion_exitosa,categoria_error,detalle_error,texto_esperado,respuesta_generada,modelo_extraccion_usado,prompt_version,prompt_hash
Q01,¿Qué se entiende por Activos Líquidos Computables?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,"Al monto total correspondiente al valor de los Activos Líquidos Elegibles que, conforme a las presentes disposiciones, se incluyan en el cálculo del Coeficiente de Cobertura de Liquidez, con los límites y factores de descuento establecidos en las presentes disposiciones.","**Activos Líquidos Computables**

Los **Activos Líquidos Computables** son aquellos que se utilizan para calcular el **Coeficiente de Cobertura de Liquidez** en las instituciones de banca múltiple. Se definen y clasifican de acuerdo a su disponibilidad y a las operaciones de reporto y préstamo de valores que la institución tenga. A continuación, se detallan los aspectos clave:

1. **Cálculo**:
   - Se determina aplicando la fórmula:
     - **Activos Líquidos Computables = C1 + C2 + C3 + C4 – Ajuste A – Ajuste B**
   - La clasificación de estos activos se basa en su disponibilidad a la fecha de cálculo y en los derechos y obligaciones contractuales de la institución.

2. **Clasificación**:
   - Los activos se consideran elegibles si están disponibles para la institución y pueden incluir:
     - Activos recibidos en operaciones de reporto.
     - Préstamos de valores.
     - Garantías en operaciones con instrumentos financieros derivados.

3. **Descuentos y Ajustes**:
   - Se aplican factores de descuento a los activos elegibles para reflejar su liquidez real.
   - No se pueden contabilizar simultáneamente como Activos Líquidos Computables y como flujos de entrada de efectivo.

4. **Ejemplos de Activos**:
   - Incluyen títulos de deuda y acciones negociables que cumplen con los criterios establecidos en el Anexo 1 de las disposiciones.

Estos activos son fundamentales para asegurar que las instituciones mantengan un nivel adecuado de liquidez para hacer frente a sus obligaciones financieras.

**Fuentes**: 
- Disposiciones_Liquidez.md
- Circular3-2012.md",gpt-4o-mini,1.0.0,2cbbc4f704-bd0f72c
Q02,¿En qué plazo debe reportarse el Coeficiente de Cobertura de Liquidez diario?,1,1,1,ÉXITO,Extracción e inyección correctas.,El Coeficiente de Cobertura de Liquidez que corresponda a cada día deberá reportarse durante los diez Días Hábiles posteriores a dicho día.,"**Respuesta a la pregunta:**

El Coeficiente de Cobertura de Liquidez diario debe reportarse durante los diez Días Hábiles posteriores al día en que corresponde.

**Fuentes:**
- Artículo 5, fracción I del Documento: Disposiciones_Liquidez.md
- Artículo 9 del Documento: Disposiciones_Liquidez.md",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q03,¿Qué es el Flujo Neto Total de Salida de Efectivo?,1,1,1,ÉXITO,Extracción e inyección correctas.,"Al monto que resulte de restar el flujo total de entrada de efectivo de una Institución del flujo total de salida de efectivo de esa misma Institución, determinados de conformidad con las presentes disposiciones.","**Flujo Neto Total de Salida de Efectivo**
=====================================

El Flujo Neto Total de Salida de Efectivo es un concepto fundamental en las Disposiciones de carácter general sobre los Requerimientos de Liquidez para las Instituciones de Banca Múltiple. Se define como el monto que resulta de restar el flujo total de entrada de efectivo de una institución del flujo total de salida de efectivo de esa misma institución, determinados de conformidad con las presentes disposiciones.

**Cálculo**
------------

Según la definición en el artículo XII, el Flujo Neto Total de Salida de Efectivo se calcula como la diferencia entre:

* El flujo total de salida de efectivo (calculado conforme al artículo 11)
* El flujo total de entrada de efectivo (calculado conforme a las disposiciones)

**Uso**
--------

El Flujo Neto Total de Salida de Efectivo es utilizado en varios contextos, como:

* La limitación para incluir Activos Líquidos Computables en posesión de una Entidad Objeto de Consolidación establecida en el extranjero (artículo 10)
* La determinación del monto máximo que puede considerarse como parte de los activos líquidos elegibles (Anexo 1, fracción I, inciso E)
* El cálculo del Coeficiente de Cobertura de Liquidez

**Fuentes**
------------

* Disposiciones de carácter general sobre los Requerimientos de Liquidez para las Instituciones de Banca Múltiple
* Anexo 1: Clasificación de Activos Líquidos Elegibles
* Anexo 2: Factores de salida aplicables a las operaciones pasivas con vencimiento igual o menor a treinta días
* Artículo 11: Cálculo del flujo total de salida de efectivo",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q04,¿Cómo se determina el flujo total de salida de efectivo?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,"El flujo total de salida de efectivo será el que resulte de sumar todas las operaciones pasivas con vencimiento igual o menor a treinta días multiplicadas por su correspondiente factor de salida, de conformidad con lo establecido en el Anexo 2 de estas disposiciones.","**Determinación del flujo total de salida de efectivo**
=====================================================

Según el artículo 11 de las Disposiciones de carácter general sobre los Requerimientos de Liquidez para las Instituciones de Banca Múltiple, el flujo total de salida de efectivo se determina observando lo siguiente:

### Artículo 11
Las Instituciones deberán observar lo siguiente para determinar el flujo total de salida de efectivo:

*   Sumar todas las operaciones pasivas con vencimiento igual o menor a treinta días multiplicadas por su correspondiente factor de salida, de conformidad con lo establecido en el Anexo 2 de estas disposiciones.
*   Incluir aquellas operaciones que derivado de los contratos que la Institución tenga celebrados, pudieran generar un flujo de salida de efectivo en los treinta días siguientes a la fecha de cálculo del Coeficiente de Cobertura de Liquidez.

### Cálculo del flujo total de salida de efectivo
El flujo total de salida de efectivo se calcula como la suma de las referencias 2, 5, 9, 10, 14 y 15.

**Referencias**

| Número | Descripción |
| --- | --- |
| 2 | Suma de la referencia 3 y referencia 4. |
| 3 | Flujo de salida asociado al financiamiento minorista no garantizado correspondiente a un factor de salida del 5% conforme al Anexo 2 de las presentes disposiciones. |
| 4 | Flujo de salida asociado al financiamiento minorista no garantizado correspondiente a un factor de salida del 10% conforme al Anexo 2 de las presentes disposiciones. |
| 5 | Suma de la referencia 6, referencia 7 y de la referencia 8. |
| 9 | Flujo de salida asociado al financiamiento garantizado conforme al Anexo 2 de las presentes disposiciones. |
| 10 | Suma de la referencia 11, referencia 12 y de la referencia 13. |

**Fuentes**

*   Disposiciones de carácter general sobre los Requerimientos de Liquidez para las Instituciones de Banca Múltiple.
*   Anexo 2 de las Disposiciones de carácter general sobre los Requerimientos de Liquidez para las Instituciones de Banca Múltiple.",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q05,¿Qué fecha deben tomar las Instituciones para determinar el plazo de las operaciones de salida?,1,1,0,B,Alucinación o Inexactitud del LLM. El contexto contenía el fragmento pero el LLM omitió variables o alucinó datos.,"Las Instituciones deberán tomar como fecha de vencimiento la fecha más próxima en que dichas operaciones pueden ser exigibles contractualmente, para lo cual deberán considerar si el contrato respectivo permite a la contraparte adelantar la exigibilidad de dichas operaciones.","**Respuesta:**
Para determinar el plazo de las operaciones de salida, las Instituciones deben tomar como fecha de vencimiento la última fecha en que contractualmente podrían exigir su pago.

**Fuentes:** 
- Fragmento 2
- Fragmento 9",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q06,¿Qué operaciones se consideran para el flujo total de entrada de efectivo?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,"Considerarán todas las operaciones vigentes conforme a los Criterios Contables que no presenten pagos vencidos de principal o intereses, que, derivado de los contratos que al efecto tenga celebrados, generarán un flujo de entrada de efectivo en los treinta días siguientes a la fecha de cálculo del Coeficiente de Cobertura de Liquidez.","**Operaciones para el flujo total de entrada de efectivo**
======================================================

Según las disposiciones establecidas en las presentes disposiciones, las operaciones que se consideran para el flujo total de entrada de efectivo son:

1. **Cartera de crédito**: Debe considerarse neta de reservas preventivas.
2. **Operaciones fecha valor**: Se consideran como si ya hubieran sido liquidadas.
3. **Efectivo a recibir por operaciones fecha valor**: Tendrá el tratamiento como si ya se encontrara en la tenencia de la Institución.
4. **Operaciones con instrumentos financieros derivados pendientes de liquidar**.
5. **Operaciones activas que formen parte de Operaciones Interdependientes**.

Estas operaciones deben ser evaluadas de acuerdo con los Criterios Contables y multiplicadas por su correspondiente factor de entrada, tal como se detalla en el Anexo 3 de las disposiciones.

(Fuentes: Disposiciones_Liquidez.md, Artículo 12, Capítulo I, Título II)",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q07,¿Cuál es el límite máximo reconocido para el flujo total de entrada de efectivo?,1,1,1,ÉXITO,Extracción e inyección correctas.,"El flujo total de entrada de efectivo será el monto que resulte menor entre: i) la suma de todos los flujos de entrada de efectivo calculados de conformidad con la fracción I anterior, y ii) el 75 por ciento del flujo total de salida de efectivo calculado conforme el artículo 11 de las presentes disposiciones.","El **límite máximo reconocido para el flujo total de entrada de efectivo** es el menor entre:

1. La suma de todos los flujos de entrada de efectivo calculados.
2. El **75 por ciento del flujo total de salida de efectivo** calculado conforme al artículo 11 de las disposiciones.

Esto significa que el flujo total de entrada de efectivo no puede exceder el 75% del flujo total de salida de efectivo.

### Resumen:
- **Límite máximo**: menor entre:
  - Suma de flujos de entrada.
  - 75% del flujo total de salida.

Esta información se encuentra en el **Artículo 12** de las disposiciones sobre los requerimientos de liquidez para las instituciones de banca múltiple.

Fuentes: Disposiciones_Liquidez.md.",gpt-4o-mini,1.0.0,2cbbc4f704-bd0f72c
Q08,¿Qué requisito de CCL debe cumplir una institución con más de 60 meses de operación para estar en Escenario I?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,Escenario I cuando el Coeficiente de Cobertura de Liquidez correspondiente a cada día del mes calendario inmediato anterior sea al menos de 100 por ciento.,"**Requisito de CCL para estar en Escenario I**

Una institución con más de 60 meses de operación debe cumplir con un requisito específico para estar en Escenario I.

Según la información proporcionada, el escenario I se refiere a las instituciones que tienen un Coeficiente de Cobertura de Liquidez (CCL) al menos del 70 por ciento. 

Por lo tanto, **la respuesta a la pregunta es:**

* El requisito de CCL para estar en Escenario I es tener un Coeficiente de Coberville de Liquidez (CCL) al menos del 70 por ciento.

**Fuentes:** 
- Fragmento 6: [Contexto generado por IA: Este fragmento se refiere a los escenarios de clasificación del Coeficiente de Cobertura de Liquidez (CCL) que las Instituciones deben observar para evaluar su situación de liquidez, conforme a lo establecido en el Título II del documento normativo.]",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q09,¿Cuándo se ubica una institución en Escenario III por recurrencia en Escenario II?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,"En el escenario III cuando, de acuerdo a lo establecido en la fracción II del presente artículo, les corresponda ubicarse en el escenario II y, adicionalmente, hubieren actualizado durante los últimos seis meses el escenario II o superior en tres o más ocasiones.","**Respuesta**

La institución se ubica en Escenario III por recurrencia en Escenario II cuando hubiere actualizado durante los últimos seis meses el escenario II o superior en tres o más ocasiones.

**Fuentes**

* Fragmento 2: Disposiciones_Liquidez.md
* Fragmento 4: Disposiciones_Liquidez.md",llama3.1:8b,1.0.0,2cbbc4f704-bd0f72c
Q10,¿Qué tratamiento de escenarios de liquidez reciben las instituciones en sus primeros 12 meses de operación?,0,1,0,A,El buscador falló. El texto clave no estuvo presente en los chunks recuperados en el Top-10.,"A partir del primer día y hasta el último día del decimosegundo mes posterior a la fecha en que hubieren comenzado operaciones, no les serán aplicables los escenarios de liquidez señalados en el presente artículo.","Las instituciones de banca múltiple reciben un tratamiento especial en relación con los escenarios de liquidez durante sus **primeros 12 meses de operación**. Específicamente:

- **Exención de Escenarios de Liquidez**: Desde el primer día hasta el último día del decimosegundo mes posterior al inicio de operaciones, **no les serán aplicables los escenarios de liquidez** establecidos en las disposiciones. 
- **Cumplimiento de Otras Obligaciones**: A pesar de esta exención, las instituciones deben cumplir con **las demás obligaciones normativas** que resulten aplicables.

Esto significa que durante su primer año, las nuevas instituciones tienen un periodo de gracia en cuanto a los requisitos específicos de liquidez, lo que les permite enfocarse en otras áreas de cumplimiento normativo.

Fuentes: 
- Disposiciones_Liquidez.md",gpt-4o-mini,1.0.0,2cbbc4f704-bd0f72c
