query_id,pregunta,estrategia,hit,rank_encontrado
Q01,¿Cómo se clasifican los tipos de crédito de la Cartera Crediticia de Consumo no Revolvente para el cálculo de reservas?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q02,¿Cuál es la fórmula para calcular la Probabilidad de Incumplimiento (PI) de un crédito de nómina en Etapa 1 o 2?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q03,¿Bajo qué condiciones un crédito de nómina pasa directamente a Etapa 3 de riesgo?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q04,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito y qué criterios deben seguir para la migración entre etapas?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q05,¿Cuáles son los enfoques que las instituciones pueden adoptar para el cálculo de reservas preventivas y qué requisitos deben cumplir para cada enfoque?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q06,¿Cómo se determina la Probabilidad de Incumplimiento para créditos clasificados en etapa 3?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q07,¿Qué criterios deben seguir las instituciones para migrar un crédito de una etapa de riesgo a otra?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q08,¿Cómo pueden las instituciones financieras utilizar las garantías reales financieras para reducir las reservas preventivas según el Artículo 97 Bis 6?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q09,¿Qué tipos de garantías pueden ser consideradas por las instituciones para la estimación de la Severidad de la Pérdida de los créditos?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q10,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito según el incremento significativo del riesgo crediticio?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q11,¿Qué enfoques pueden adoptar las instituciones para el cálculo de reservas preventivas y cuáles son sus requisitos?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q12,"¿Cómo se determina la Probabilidad de Incumplimiento para créditos clasificados como ""B"" en la Cartera Crediticia de Consumo no Revolvente?",8_MultiQuery_Embeddings_CrossEncoder,1,1
Q13,¿Cómo deben las instituciones calcular la Exposición al Incumplimiento para créditos donde el saldo es menor que el límite de crédito?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q14,¿Qué criterios deben seguir las instituciones para migrar un crédito entre etapas de riesgo?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q15,¿Cómo se determina la Probabilidad de Incumplimiento para créditos con ACT_i ≤ 3?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q16,¿Cómo pueden las instituciones financieras reducir las reservas preventivas a través del reconocimiento de garantías?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q17,¿Qué tipos de garantías son reconocidos para la estimación de la Severidad de la Pérdida de los créditos?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q18,¿En qué condiciones deben las instituciones aplicar el apartado E para calcular sus reservas?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q19,¿Cuál es la fórmula regulatoria para calcular el Coeficiente de Cobertura de Liquidez y cómo debe expresarse el resultado porcentual?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q20,¿Cómo se determina el flujo de salida contingente por operaciones con instrumentos financieros derivados?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q21,¿Cómo se calcula el flujo total de entrada de efectivo?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q22,¿Qué factor de salida se aplica a depósitos en cuentas transaccionales de personas físicas cubiertos por el IPAB?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q23,¿Cómo se registran las operaciones de compra-venta fecha valor para calcular el coeficiente de cobertura de liquidez?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q24,¿Cuál es la fórmula regulatoria para calcular el Coeficiente de Financiamiento Estable Neto y cómo debe expresarse el resultado porcentual?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q25,¿Con qué periodicidad debe reportarse el CFEN al Banco de México y a qué fecha de cálculo corresponde?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q26,¿Qué se entiende por Monto de Financiamiento Estable Disponible para efectos del CFEN?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q27,¿Qué se entiende por Monto de Financiamiento Estable Requerido para efectos del CFEN?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q28,"¿Qué factor de financiamiento estable disponible se asigna al capital fundamental, capital básico no fundamental y pasivos con plazo residual igual o mayor a un año?",8_MultiQuery_Embeddings_CrossEncoder,1,1
Q29,¿Cuál es la definición de liquidez intradía según las herramientas de monitoreo del Comité de Basilea?,8_MultiQuery_Embeddings_CrossEncoder,1,1
Q30,¿Cuáles son las principales fuentes propias de liquidez intradía que puede utilizar un banco durante el día hábil?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q31,¿Cómo se define un escenario de tensión de contraparte?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q32,¿Cómo se calcula el uso máximo diario de liquidez intradía a partir de la posición neta acumulada de pagos enviados y recibidos?,8_MultiQuery_Embeddings_CrossEncoder,0,-1
Q33,¿Qué son las obligaciones con horario específico y por qué su incumplimiento puede generar riesgo financiero o reputacional?,8_MultiQuery_Embeddings_CrossEncoder,1,1
