query_id,pregunta,estrategia,hit,rank_encontrado
Q01,¿Para consumo no revolvente cómo se define el pago realizado?,1_BoW,1,2
Q02,¿Cuál es la fórmula para calcular la Probabilidad de Incumplimiento (PI) de un crédito de nómina en Etapa 1 o 2?,1_BoW,1,4
Q03,¿Bajo qué condiciones un crédito de nómina pasa directamente a Etapa 3 de riesgo?,1_BoW,1,3
Q04,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito y qué criterios deben seguir para la migración entre etapas?,1_BoW,1,1
Q05,¿Cuáles son los enfoques que las instituciones pueden adoptar para el cálculo de reservas preventivas y qué requisitos deben cumplir para cada enfoque?,1_BoW,1,4
Q06,¿Cómo se determina la Probabilidad de Incumplimiento para créditos clasificados en etapa 3?,1_BoW,1,1
Q07,¿Qué criterios deben seguir las instituciones para migrar un crédito de una etapa de riesgo a otra?,1_BoW,1,2
Q08,¿Qué se consideraría un crédito personal?,1_BoW,1,8
Q09,¿Qué tipos de garantías pueden ser consideradas por las instituciones para la estimación de la Severidad de la Pérdida de los créditos?,1_BoW,1,2
Q10,¿Cómo deben las instituciones financieras clasificar los créditos en las etapas de riesgo de crédito según el incremento significativo del riesgo crediticio?,1_BoW,1,2
Q11,¿Qué se entiendo por saldo a pagar?,1_BoW,1,3
Q12,¿Cómo se determina la reservas para los créditos en etapa 2?,1_BoW,1,1
Q13,¿Cómo deben las instituciones calcular la Exposición al Incumplimiento para créditos donde el saldo es menor que el límite de crédito?,1_BoW,1,1
Q14,¿Se pueden reportar tasas de interés en cero?,1_BoW,1,2
Q15,¿Cuándo no exista información del acreditado en las sociedades de información crediticia que factor de riesgo se aplica?,1_BoW,1,3
Q16,¿Cuál es la fórmula regulatoria para calcular el Coeficiente de Cobertura de Liquidez y cómo debe expresarse el resultado porcentual?,1_BoW,1,4
Q17,¿Cómo se determina el flujo de salida contingente por operaciones con instrumentos financieros derivados?,1_BoW,1,1
Q18,¿Cómo se calcula el flujo total de entrada de efectivo?,1_BoW,1,1
Q19,¿Qué factor de salida se aplica a depósitos en cuentas transaccionales de personas físicas cubiertos por el IPAB?,1_BoW,1,8
Q20,¿Cómo se registran las operaciones de compra-venta fecha valor para calcular el coeficiente de cobertura de liquidez?,1_BoW,1,2
Q21,¿Cuál es la fórmula regulatoria para calcular el Coeficiente de Financiamiento Estable Neto y cómo debe expresarse el resultado porcentual?,1_BoW,1,1
Q22,¿Con qué periodicidad debe reportarse el CFEN al Banco de México y a qué fecha de cálculo corresponde?,1_BoW,0,-1
Q23,¿Qué se entiende por Monto de Financiamiento Estable Disponible para efectos del CFEN?,1_BoW,1,2
Q24,¿Qué se entiende por Monto de Financiamiento Estable Requerido para efectos del CFEN?,1_BoW,1,3
Q25,"¿Qué factor de financiamiento estable disponible se asigna al capital fundamental, capital básico no fundamental y pasivos con plazo residual igual o mayor a un año?",1_BoW,1,1
Q26,¿Cuál es la definición de liquidez intradía según las herramientas de monitoreo del Comité de Basilea?,1_BoW,0,-1
Q27,¿Cuáles son las principales fuentes propias de liquidez intradía que puede utilizar un banco durante el día hábil?,1_BoW,1,1
Q28,¿Cómo se define un escenario de tensión de contraparte?,1_BoW,1,1
Q29,¿Cómo se calcula el uso máximo diario de liquidez intradía a partir de la posición neta acumulada de pagos enviados y recibidos?,1_BoW,1,1
Q30,¿Qué son las obligaciones con horario específico y por qué su incumplimiento puede generar riesgo financiero o reputacional?,1_BoW,1,1
