query_id,pregunta,respuesta_ciega,texto_clave_esperado,hit_ciego,duracion_segundos
Q01,¿Qué se entiende por Activos Líquidos Computables?,"Los Activos Líquidos Computables son aquellos activos que una entidad financiera puede convertir rápidamente en efectivo sin una pérdida significativa de valor. Estos activos son fundamentales para cumplir con los requisitos de liquidez establecidos por los reguladores, como los que se encuentran en el marco de Basilea III.

Los Activos Líquidos Computables se dividen generalmente en dos categorías:

1. **Activos Líquidos de Nivel 1**: Son los activos más líquidos y de mayor calidad, que incluyen el efectivo, los depósitos en bancos centrales y los bonos del gobierno de alta calidad. Estos activos pueden ser utilizados para cumplir con los requisitos de liquidez de manera inmediata.

2. **Activos Líquidos de Nivel 2**: Incluyen activos que son líquidos, pero que pueden estar sujetos a descuentos en su valor de mercado. Esto puede incluir ciertos bonos corporativos y otros instrumentos financieros que, aunque son relativamente líquidos, no tienen el mismo nivel de seguridad que los activos de Nivel 1.

La regulación exige que las entidades mantengan un cierto porcentaje de sus activos en forma de Activos Líquidos Computables para asegurar que puedan hacer frente a salidas de efectivo inesperadas y mantener la estabilidad financiera.","Al monto total correspondiente al valor de los Activos Líquidos Elegibles que, conforme a las presentes disposiciones, se incluyan en el cálculo del Coeficiente de Cobertura de Liquidez, con los límites y factores de descuento establecidos en las presentes disposiciones.",0,4.2657
Q02,¿En qué plazo debe reportarse el Coeficiente de Cobertura de Liquidez diario?,"El Coeficiente de Cobertura de Liquidez (LCR, por sus siglas en inglés) debe ser reportado diariamente por las entidades bancarias. Este coeficiente es una medida que asegura que los bancos mantengan un nivel adecuado de activos líquidos de alta calidad para cubrir sus salidas de efectivo durante un período de 30 días en condiciones de estrés. La regulación que establece este requerimiento proviene de Basilea III, que busca fortalecer la regulación, supervisión y gestión de riesgos en el sector bancario.",El Coeficiente de Cobertura de Liquidez que corresponda a cada día deberá reportarse durante los diez Días Hábiles posteriores a dicho día.,0,2.4585
Q03,¿Qué es el Flujo Neto Total de Salida de Efectivo?,"El Flujo Neto Total de Salida de Efectivo se refiere a la cantidad total de efectivo que sale de una entidad, como un banco o una empresa, durante un período específico, menos la cantidad de efectivo que entra en la misma durante ese mismo período. Este indicador es crucial para evaluar la liquidez y la salud financiera de una institución, ya que un flujo neto negativo puede indicar problemas de liquidez, mientras que un flujo neto positivo sugiere que la entidad está generando más efectivo del que está gastando. En el contexto bancario, este flujo puede incluir salidas de efectivo por préstamos, pagos de intereses, gastos operativos y otras obligaciones, así como entradas por depósitos, ingresos por intereses y comisiones.","Al monto que resulte de restar el flujo total de entrada de efectivo de una Institución del flujo total de salida de efectivo de esa misma Institución, determinados de conformidad con las presentes disposiciones.",0,2.4264
Q04,¿Cómo se determina el flujo total de salida de efectivo?,"El flujo total de salida de efectivo se determina mediante la identificación y cuantificación de todas las salidas de efectivo de una entidad durante un período específico. Este proceso generalmente incluye los siguientes pasos:

1. **Identificación de las categorías de salidas de efectivo**: Las salidas de efectivo pueden clasificarse en varias categorías, como:
   - **Operativas**: Pagos a proveedores, salarios, impuestos, y otros gastos operativos.
   - **Inversión**: Compras de activos fijos, inversiones en otras empresas, y gastos de capital.
   - **Financiamiento**: Pagos de deudas, dividendos a accionistas, y otros costos relacionados con la financiación.

2. **Recolección de datos**: Se recopilan los datos de las transacciones que generan salidas de efectivo. Esto puede incluir extractos bancarios, registros contables, y facturas.

3. **Cálculo de las salidas de efectivo**: Se suman todas las salidas de efectivo identificadas en cada categoría durante el período analizado. Esto puede hacerse utilizando métodos contables como el método directo, que registra las entradas y salidas de efectivo de manera explícita.

4. **Análisis de variaciones**: En algunos casos, se puede comparar el flujo de salida de efectivo con períodos anteriores o con presupuestos para entender mejor las tendencias y variaciones.

5. **Presentación en el estado de flujos de efectivo**: Finalmente, el flujo total de salida de efectivo se presenta en el estado de flujos de efectivo, que es parte de los estados financieros de la entidad.

Este proceso permite a las entidades financieras y a los analistas evaluar la liquidez y la salud financiera de la organización.","El flujo total de salida de efectivo será el que resulte de sumar todas las operaciones pasivas con vencimiento igual o menor a treinta días multiplicadas por su correspondiente factor de salida, de conformidad con lo establecido en el Anexo 2 de estas disposiciones.",0,5.1608
Q05,¿Qué fecha deben tomar las Instituciones para determinar el plazo de las operaciones de salida?,"En el contexto de la regulación financiera bancaria, las instituciones deben tomar como referencia la fecha de valor o la fecha de liquidación de la operación para determinar el plazo de las operaciones de salida. Esta fecha es crucial, ya que marca el momento en que se efectúa la transferencia de fondos o activos y se considera el inicio del plazo para cualquier obligación relacionada con la operación. Es importante que las instituciones sigan las normativas específicas de su jurisdicción y las directrices del regulador correspondiente para asegurar el cumplimiento adecuado.","Las Instituciones deberán tomar como fecha de vencimiento la fecha más próxima en que dichas operaciones pueden ser exigibles contractualmente, para lo cual deberán considerar si el contrato respectivo permite a la contraparte adelantar la exigibilidad de dichas operaciones.",0,2.184
Q06,¿Qué operaciones se consideran para el flujo total de entrada de efectivo?,"El flujo total de entrada de efectivo en el contexto de la regulación financiera bancaria se refiere a todas las fuentes de efectivo que ingresan a una entidad financiera. Las operaciones que se consideran para calcular este flujo incluyen:

1. **Intereses recibidos**: Ingresos generados por los préstamos otorgados a clientes y otras inversiones.

2. **Comisiones y tarifas**: Ingresos por servicios bancarios, como comisiones por transacciones, mantenimiento de cuentas y otros servicios financieros.

3. **Venta de activos**: Ingresos obtenidos por la venta de activos financieros, como bonos, acciones o propiedades.

4. **Depósitos de clientes**: Nuevos depósitos realizados por clientes en cuentas de ahorro, cuentas corrientes y otros productos de depósito.

5. **Financiamiento externo**: Fondos obtenidos a través de la emisión de deuda, como bonos o préstamos de otras instituciones.

6. **Inversiones en instrumentos financieros**: Ingresos por la compra y venta de instrumentos financieros, así como dividendos recibidos de inversiones en acciones.

7. **Recuperación de préstamos**: Pagos recibidos de clientes que han pagado sus préstamos.

Estas operaciones son fundamentales para evaluar la liquidez y la salud financiera de una entidad bancaria, ya que reflejan su capacidad para generar efectivo y cumplir con sus obligaciones.","Considerarán todas las operaciones vigentes conforme a los Criterios Contables que no presenten pagos vencidos de principal o intereses, que, derivado de los contratos que al efecto tenga celebrados, generarán un flujo de entrada de efectivo en los treinta días siguientes a la fecha de cálculo del Coeficiente de Cobertura de Liquidez.",0,3.4226
Q07,¿Cuál es el límite máximo reconocido para el flujo total de entrada de efectivo?,"El límite máximo reconocido para el flujo total de entrada de efectivo puede variar según la regulación específica de cada país y el contexto en el que se aplique. En términos generales, no existe un límite universalmente establecido para el flujo de efectivo en el ámbito bancario. Sin embargo, las instituciones financieras deben cumplir con regulaciones de liquidez y capital que pueden influir en la gestión de sus flujos de efectivo.

Por ejemplo, en el contexto de Basilea III, se establecen requisitos de liquidez que las entidades deben cumplir, como el Ratio de Cobertura de Liquidez (LCR) y el Ratio de Financiación Estable Net (NSFR), que buscan asegurar que los bancos mantengan un nivel adecuado de activos líquidos para cubrir sus obligaciones a corto y largo plazo.

Si te refieres a un contexto específico o a una regulación particular, por favor proporciona más detalles para poder ofrecer una respuesta más precisa.","El flujo total de entrada de efectivo será el monto que resulte menor entre: i) la suma de todos los flujos de entrada de efectivo calculados de conformidad con la fracción I anterior, y ii) el 75 por ciento del flujo total de salida de efectivo calculado conforme el artículo 11 de las presentes disposiciones.",0,2.6644
Q08,¿Qué requisito de CCL debe cumplir una institución con más de 60 meses de operación para estar en Escenario I?,"Para que una institución bancaria con más de 60 meses de operación esté en Escenario I según la regulación de Capital de Nivel 1 (CCL), debe cumplir con un requisito de capital mínimo del 4% de su activo ponderado por riesgo. Este escenario se refiere a las condiciones más favorables en términos de requisitos de capital, donde se espera que la institución mantenga un nivel adecuado de capital para absorber pérdidas y garantizar la estabilidad financiera.",Escenario I cuando el Coeficiente de Cobertura de Liquidez correspondiente a cada día del mes calendario inmediato anterior sea al menos de 100 por ciento.,0,1.6905
Q09,¿Cuándo se ubica una institución en Escenario III por recurrencia en Escenario II?,"En el contexto de la regulación financiera bancaria, específicamente bajo el marco de Basilea III, una institución se ubica en Escenario III por recurrencia en Escenario II cuando ha experimentado múltiples incumplimientos de los requisitos de capital o de liquidez establecidos en el Escenario II durante un período determinado. Esto implica que la entidad ha mostrado una debilidad persistente en su capacidad para mantener los estándares regulatorios, lo que puede llevar a una supervisión más estricta y a la implementación de medidas correctivas por parte de las autoridades regulatorias. La transición a Escenario III generalmente conlleva mayores restricciones y la necesidad de un plan de recuperación más robusto.","En el escenario III cuando, de acuerdo a lo establecido en la fracción II del presente artículo, les corresponda ubicarse en el escenario II y, adicionalmente, hubieren actualizado durante los últimos seis meses el escenario II o superior en tres o más ocasiones.",0,2.96
Q10,¿Qué tratamiento de escenarios de liquidez reciben las instituciones en sus primeros 12 meses de operación?,"En los primeros 12 meses de operación, las instituciones financieras, especialmente los bancos, suelen recibir un tratamiento regulatorio específico en relación con la gestión de la liquidez. Este tratamiento puede variar según la jurisdicción y el marco regulatorio aplicable, pero generalmente incluye los siguientes aspectos:

1. **Requisitos de Capital y Liquidez**: Las nuevas instituciones pueden estar sujetas a requisitos de capital más estrictos y a un monitoreo más cercano de su posición de liquidez. Esto se debe a que los reguladores buscan asegurar que estas entidades tengan un colchón adecuado para enfrentar posibles tensiones de liquidez.

2. **Plan de Liquidez**: Se espera que las nuevas instituciones desarrollen y presenten un plan de gestión de liquidez que detalle cómo manejarán sus flujos de efectivo y sus necesidades de financiamiento en diferentes escenarios, incluyendo situaciones de estrés.

3. **Escenarios de Estrés**: Las instituciones deben realizar pruebas de estrés de liquidez que simulen diferentes escenarios adversos, lo que les permite evaluar su capacidad para mantener operaciones en condiciones desfavorables.

4. **Supervisión y Reportes**: Durante el primer año, las instituciones suelen estar bajo una supervisión más intensa, con requisitos de reporte más frecuentes sobre su posición de liquidez y sus proyecciones de flujo de efectivo.

5. **Flexibilidad en Requisitos**: En algunos casos, los reguladores pueden ofrecer cierta flexibilidad en los requisitos de liquidez para facilitar el establecimiento de la nueva entidad, siempre que se mantenga un enfoque prudente.

Este enfoque busca mitigar riesgos y asegurar que las nuevas instituciones puedan operar de manera segura y estable desde el inicio de sus operaciones.","A partir del primer día y hasta el último día del decimosegundo mes posterior a la fecha en que hubieren comenzado operaciones, no les serán aplicables los escenarios de liquidez señalados en el presente artículo.",0,4.6164
